topic_id,type,stem,is_active,explanation_eli5,explanation_l1_points,explanation_points_by_option,explanation_l2,options,correct_answer,created_at,updated_at
bb11c716-0a43-4ade-951c-2dcf64b03513,MCQ,"A 55-year-old woman receiving adjuvant chemotherapy for breast cancer presents with a temperature of 38.5°C, rigors and malaise 10 days after her last cycle. Observations: BP 102/64 mmHg, HR 112 bpm. FBC shows neutrophils 0.2 x10^9/L, Hb 80 g/L, platelets 30 x10^9/L. What is the most appropriate immediate management?",True,"She has a fever with very low white cells after chemo, which is dangerous. Give strong IV antibiotics now and don’t wait for test results.",[],"{""0"": [""Oral antibiotics are inadequate and risk delay in suspected neutropenic sepsis.""], ""1"": [""Neutropenic sepsis requires immediate broad-spectrum IV antibiotics (e.g., piperacillin–tazobactam) within 1 hour.""], ""2"": [""Blood cultures should be taken but must not delay the first dose of IV antibiotics.""], ""3"": [""ICU transfer is not indicated before giving antibiotics in a haemodynamically stable patient.""], ""4"": [""G-CSF and discharge are unsafe and do not treat the acute sepsis in febrile neutropenia.""]}","This is neutropenic sepsis after chemotherapy (fever with neutrophils 0.2 x10^9/L), a medical emergency. NICE CG151 recommends giving empirical IV broad-spectrum antibiotics within 1 hour, with piperacillin–tazobactam as first-line in many centres. Blood cultures should be taken promptly but must not delay antibiotics. ICU is only needed if there is haemodynamic instability or organ failure. Early treatment reduces mortality and progression to severe sepsis.","[""Start oral co-amoxiclav and observe"", ""Start IV piperacillin–tazobactam immediately"", ""Take blood cultures and await results"", ""Transfer to ICU before antibiotics"", ""Give filgrastim and discharge""]",1,2025-09-16T09:56:57Z,2025-09-16T09:56:57Z
bb11c716-0a43-4ade-951c-2dcf64b03513,MCQ,"A 43-year-old lifelong vegan presents with fatigue, glossitis and paraesthesia of the feet. FBC shows pancytopenia with MCV 112 fL. Serum B12 is low and folate is normal. What is the most appropriate initial treatment?",True,She needs strong B12 injections to fix the deficiency quickly and safely. Tablets or folic acid alone could make the nerve problem worse.,[],"{""0"": [""Oral cyanocobalamin is not suitable initially for significant deficiency with neurological signs and pancytopenia.""], ""1"": [""IM hydroxocobalamin 1 mg on alternate days is the recommended initial therapy, especially with neurological features.""], ""2"": [""Transfusion may be supportive but does not treat the underlying B12 deficiency.""], ""3"": [""Folic acid alone can correct the anaemia while worsening irreversible neuropathy in B12 deficiency.""], ""4"": [""Steroids have no role in treating vitamin B12 deficiency.""]}","Low B12 with neurological symptoms and macrocytosis causing pancytopenia requires parenteral replacement. UK practice (BNF/NICE CKS) recommends hydroxocobalamin 1 mg IM on alternate days for 2 weeks; if there are neurological signs, continue on alternate days until no further improvement, then maintenance 1 mg IM every 2–3 months. Oral therapy is inadequate initially in severe deficiency or where absorption may be uncertain. Folic acid alone risks masking haematological response while allowing neurological damage to progress. Transfusion is reserved for severe symptomatic anaemia but does not replace B12.","[""Oral cyanocobalamin 50 micrograms daily"", ""IM hydroxocobalamin 1 mg on alternate days then maintenance"", ""Blood transfusion only"", ""Oral folic acid alone"", ""Prednisolone""]",1,2025-09-16T09:56:57Z,2025-09-16T09:56:57Z
bb11c716-0a43-4ade-951c-2dcf64b03513,MCQ,"A 24-year-old man presents with easy bruising, recurrent sore throats and tiredness. Examination shows no lymphadenopathy or splenomegaly. FBC shows pancytopenia with a very low reticulocyte count. What is the most appropriate next investigation to confirm the diagnosis?",True,His blood factory may have shut down. The only way to be sure is to look directly at the bone marrow.,[],"{""0"": [""Bone marrow aspiration and trephine biopsy confirm aplastic anaemia by showing a hypocellular marrow with fatty replacement.""], ""1"": [""ESR is non-specific and does not diagnose bone marrow failure.""], ""2"": [""JAK2 testing is for myeloproliferative neoplasms and is not indicated for suspected aplasia.""], ""3"": [""CT abdomen will not confirm marrow failure in the absence of organomegaly.""], ""4"": [""A direct antiglobulin test evaluates haemolysis, which would raise reticulocytes rather than lower them.""]}","Pancytopenia with a very low reticulocyte count and no lymphadenopathy or splenomegaly suggests aplastic anaemia. The definitive diagnostic test is bone marrow examination, typically showing a hypocellular, fatty marrow. In contrast, haemolysis would raise reticulocyte counts, and imaging adds little here. Cytogenetics may be performed to exclude clonal disorders. Management follows BSH guidance, including supportive care and consideration of immunosuppression or HSCT.","[""Bone marrow aspiration and trephine biopsy"", ""ESR"", ""JAK2 V617F mutation test"", ""CT abdomen"", ""Direct antiglobulin (Coombs) test""]",0,2025-09-16T09:56:57Z,2025-09-16T09:56:57Z
bb11c716-0a43-4ade-951c-2dcf64b03513,MCQ,"A 72-year-old man has fatigue and easy bruising. FBC shows macrocytosis with anaemia, neutropenia and thrombocytopenia. Blood film reveals dysplastic, hypogranular neutrophils. What is the most appropriate diagnostic investigation to classify this condition?",True,"To name and grade this bone marrow problem, doctors must take a sample from the marrow and look at the chromosomes. Blood tests alone cannot do this.",[],"{""0"": [""Iron studies do not classify a clonal dysplastic marrow disorder.""], ""1"": [""B12 and folate tests are part of exclusion but do not classify suspected myelodysplastic syndrome.""], ""2"": [""Imaging does not diagnose or risk-stratify myelodysplastic syndromes.""], ""3"": [""Autoimmune serology is not used to classify a haematological dysplasia.""], ""4"": [""Bone marrow biopsy with cytogenetics is required to diagnose and risk-stratify myelodysplastic syndrome.""]}","Macrocytosis with cytopenias and dysplastic, hypogranular neutrophils on blood film is highly suggestive of myelodysplastic syndrome (MDS). Diagnosis and classification rely on bone marrow morphology and cytogenetic/molecular findings, which inform WHO classification and IPSS-R risk scoring. Nutritional causes should be excluded but do not replace marrow assessment. Cytogenetics guide prognosis and therapy choices, including consideration of hypomethylating agents or transplant.","[""Iron studies"", ""Serum B12 and folate"", ""CT abdomen and pelvis"", ""ANA and anti-dsDNA"", ""Bone marrow biopsy with cytogenetics""]",4,2025-09-16T09:56:57Z,2025-09-16T09:56:57Z
bb11c716-0a43-4ade-951c-2dcf64b03513,MCQ,A 35-year-old man presents with gum bleeding and bruising. FBC shows pancytopenia; coagulation profile shows prolonged PT and low fibrinogen. Blood film shows blasts with Auer rods. What is the most appropriate immediate treatment?,True,"This leukaemia causes dangerous bleeding, so start the special vitamin A–type drug right away. Do tests, but don’t wait to treat.",[],"{""0"": [""Imatinib treats BCR–ABL-positive CML, not acute promyelocytic leukaemia.""], ""1"": [""All-trans retinoic acid should be started immediately in suspected APL to reverse coagulopathy and prevent fatal haemorrhage.""], ""2"": [""High-dose dexamethasone does not treat APL or its DIC and delays definitive therapy.""], ""3"": [""Therapy must not be delayed for PML–RARA confirmation when APL is suspected clinically and on film.""], ""4"": [""Platelets alone are supportive and insufficient to treat the underlying APL and DIC.""]}","Blasts with Auer rods plus DIC (prolonged PT, low fibrinogen) point to acute promyelocytic leukaemia. Immediate ATRA is lifesaving as it rapidly corrects the coagulopathy by inducing differentiation of promyelocytes. Do not delay ATRA while awaiting PML–RARA confirmation; supportive cryoprecipitate and platelets are also indicated. Subsequent therapy may include arsenic trioxide or anthracycline-based regimens per BCSH APL guidance. Early treatment markedly reduces early haemorrhagic mortality.","[""Start imatinib"", ""Start all-trans retinoic acid immediately"", ""Start high-dose dexamethasone"", ""Delay treatment until PML–RARA confirmation"", ""Platelet transfusion only""]",1,2025-09-16T09:56:57Z,2025-09-16T09:56:57Z
bb11c716-0a43-4ade-951c-2dcf64b03513,MCQ,A 58-year-old man with alcohol-related cirrhosis has splenomegaly on examination. FBC shows pancytopenia with a mildly elevated reticulocyte count. What is the most likely mechanism of his cytopenias?,True,"His enlarged spleen traps and destroys blood cells. The bone marrow is trying to keep up, but counts stay low.",[],"{""0"": [""Hypersplenism from portal hypertension causes sequestration and increased destruction of blood cells, leading to pancytopenia.""], ""1"": [""Bone marrow aplasia would cause low reticulocytes and is not explained by splenomegaly.""], ""2"": [""B12 deficiency gives macrocytosis and neurological signs rather than hypersplenism-related pancytopenia.""], ""3"": [""Reduced erythropoietin causes anaemia of renal disease, not trilineage cytopenia with splenomegaly.""], ""4"": [""Autoimmune destruction of progenitors suggests aplastic anaemia, which does not account for splenic enlargement.""]}","In cirrhosis, portal hypertension leads to splenic congestion, with pooling and premature destruction of red cells, white cells and platelets (hypersplenism). A mildly elevated reticulocyte count supports compensatory marrow activity rather than marrow failure. This mechanism explains pancytopenia in the presence of splenomegaly. Management focuses on the underlying liver disease and complications of portal hypertension.","[""Splenic sequestration and destruction"", ""Bone marrow aplasia"", ""Vitamin B12 deficiency"", ""Decreased erythropoietin production"", ""Autoimmune destruction of marrow progenitors""]",0,2025-09-16T09:56:57Z,2025-09-16T09:56:57Z
bb11c716-0a43-4ade-951c-2dcf64b03513,MCQ,"A 7-year-old boy is referred with recurrent infections, pallor and easy bruising. He is short for his age with café-au-lait spots and hypoplastic thumbs. FBC shows pancytopenia. What is the most likely diagnosis?",True,He was born with a condition that weakens the bone marrow and gives features like small thumbs and skin marks. This makes all his blood counts low.,[],"{""0"": [""ITP causes isolated thrombocytopenia without congenital anomalies or pancytopenia.""], ""1"": [""Diamond–Blackfan anaemia is a pure red cell aplasia presenting in infancy, not trilineage cytopenia with anomalies.""], ""2"": [""ALL can cause pancytopenia but does not cause congenital anomalies like hypoplastic thumbs.""], ""3"": [""Parvovirus B19 causes transient red cell aplasia and does not explain congenital features.""], ""4"": [""Fanconi anaemia causes inherited marrow failure with short stature, café-au-lait spots and radial ray defects.""]}","Short stature, café-au-lait spots and hypoplastic thumbs with pancytopenia indicate Fanconi anaemia, an inherited DNA repair disorder causing bone marrow failure. It typically presents in childhood with physical anomalies and progressive cytopenias. Diagnosis is confirmed with chromosomal breakage tests and genetic studies. Management includes supportive care, and definitive treatment with haematopoietic stem cell transplantation may be required.","[""Immune thrombocytopenia"", ""Diamond–Blackfan anaemia"", ""Acute lymphoblastic leukaemia"", ""Aplastic crisis due to parvovirus B19"", ""Fanconi anaemia""]",4,2025-09-16T09:56:57Z,2025-09-16T09:56:57Z
bb11c716-0a43-4ade-951c-2dcf64b03513,MCQ,"A 37-year-old kidney transplant recipient on tacrolimus presents with anaemia, leukopenia and thrombocytopenia. Reticulocytes are low. You suspect a viral cause. Which investigation is most appropriate to confirm the suspected diagnosis?",True,A virus can switch off the marrow after a transplant. The best test is PCR to look for that virus directly.,[],"{""0"": [""Parvovirus B19 PCR detects active infection and is preferred in immunosuppressed patients with reticulocytopenia.""], ""1"": [""Hepatitis B testing does not explain profound marrow suppression in this context.""], ""2"": [""CMV IgG shows past exposure and cannot confirm current viraemia or marrow suppression.""], ""3"": [""A heterophile test screens for acute EBV, which is not the typical cause of this presentation.""], ""4"": [""Malaria is not suggested by the history and is not a viral cause of pancytopenia.""]}","Transplant recipients on calcineurin inhibitors are at risk of parvovirus B19, which can cause severe anaemia or pancytopenia with low reticulocytes due to pure red cell aplasia. In immunosuppressed patients, serology may be negative, so PCR for parvovirus DNA is the investigation of choice. Confirmation guides treatment with IV immunoglobulin and reduction of immunosuppression where possible. Other listed tests either indicate past exposure or are not relevant to this presentation.","[""Parvovirus B19 PCR"", ""Hepatitis B surface antigen"", ""CMV IgG"", ""EBV heterophile antibody test"", ""Malaria film""]",0,2025-09-16T09:56:57Z,2025-09-16T09:56:57Z
bb11c716-0a43-4ade-951c-2dcf64b03513,MCQ,"A 32-year-old man presents with weight loss, oral thrush and night sweats. Examination shows generalised lymphadenopathy and splenomegaly. FBC shows pancytopenia. What is the most appropriate next investigation?",True,"His symptoms fit HIV, so we should do an HIV test first. It’s quick and will guide what to do next.",[],"{""0"": [""Ferritin testing will not identify the likely retroviral cause of his symptoms and pancytopenia.""], ""1"": [""JAK2 testing screens for myeloproliferative neoplasms and is not appropriate here.""], ""2"": [""ANA screens for autoimmune disease and is not first-line in this scenario.""], ""3"": [""An HIV antigen/antibody test is the appropriate next step given thrush, B symptoms, lymphadenopathy and pancytopenia.""], ""4"": [""Bone marrow biopsy may be needed later, but HIV testing should come first as a reversible cause.""]}","Weight loss, night sweats, oral thrush, generalised lymphadenopathy and pancytopenia strongly suggest advanced HIV infection. The appropriate next investigation is a 4th-generation HIV antigen/antibody test, as recommended in BHIVA testing guidance. Identifying HIV promptly directs staging, opportunistic infection screening and antiretroviral therapy. Invasive tests like bone marrow biopsy can be deferred until after addressing likely HIV-related causes.","[""Serum ferritin"", ""JAK2 mutation analysis"", ""ANA"", ""HIV antigen/antibody test"", ""Bone marrow biopsy""]",3,2025-09-16T09:56:57Z,2025-09-16T09:56:57Z
bb11c716-0a43-4ade-951c-2dcf64b03513,MCQ,A 52-year-old man has recurrent infections and massive splenomegaly. FBC shows pancytopenia. Blood film shows lymphocytes with cytoplasmic projections. What is the most likely diagnosis?,True,"Those fuzzy-looking white cells are ‘hairy’ cells, which define hairy cell leukaemia. This explains his big spleen and low blood counts.",[],"{""0"": [""Some lymphomas cause splenomegaly, but ‘hairy’ cells on the film point to another diagnosis.""], ""1"": [""AML shows myeloblasts rather than lymphocytes with cytoplasmic projections.""], ""2"": [""CLL typically shows smudge cells and lymphocytosis, not hairy cells with massive splenomegaly.""], ""3"": [""Primary myelofibrosis shows tear-drop cells and a leucoerythroblastic film, not hairy cells.""], ""4"": [""Hairy cell leukaemia presents with pancytopenia, massive splenomegaly and lymphocytes with cytoplasmic projections.""]}","The triad of pancytopenia, massive splenomegaly and lymphocytes with cytoplasmic projections is classic for hairy cell leukaemia. Patients often have recurrent infections due to profound monocytopenia. Marrow biopsy may be a ‘dry tap’ due to fibrosis, and BRAF V600E mutation is common. First-line therapy is a purine analogue such as cladribine, which achieves high remission rates.","[""Non-Hodgkin lymphoma"", ""Acute myeloid leukaemia"", ""Chronic lymphocytic leukaemia"", ""Primary myelofibrosis"", ""Hairy cell leukaemia""]",4,2025-09-16T09:56:57Z,2025-09-16T09:56:57Z
