topic_id,type,stem,is_active,explanation_eli5,explanation_l1_points,explanation_points_by_option,explanation_l2,options,correct_answer,created_at,updated_at
88f42168-3ac2-46aa-a5e7-79af1f26e5a2,MCQ,"A 58-year-old man presents with crushing central chest pain and diaphoresis. ECG shows ST elevation in II, III and aVF. He is hypotensive (BP 82/50 mmHg), bradycardic (HR 52), with clear lung fields and elevated JVP. You suspect right ventricular involvement. What is the most appropriate immediate haemodynamic management while arranging reperfusion?",True,The right side of the heart needs more filling to pump properly. Give a small fluid bolus and avoid drugs that lower blood return like nitrates or diuretics.,[],"{""0"": [""Diuretics reduce preload and in right ventricular infarction this will precipitate further hypotension."", ""Management is to increase preload with an IV isotonic fluid bolus.""], ""1"": [""Right ventricular infarcts are preload dependent; cautious IV fluids increase RV filling and cardiac output."", ""Clear lungs with raised JVP support RVMI physiology; a 250–500 mL 0.9% saline bolus is appropriate while arranging reperfusion."", ""Avoid vasodilators/diuretics initially as they lower preload and worsen shock.""], ""2"": [""Nitrates reduce venous return and can cause cardiovascular collapse in RV infarction."", ""The haemodynamic priority is to support preload with an IV fluid bolus.""], ""3"": [""Atropine may treat bradycardia, but the primary problem here is low preload driving hypotension."", ""First give fluids to augment preload; add atropine if bradycardia persists with instability.""], ""4"": [""Morphine provides analgesia but may worsen hypotension via vasodilation and vagal effects."", ""Initial haemodynamic support in RVMI is a fluid bolus to increase preload.""]}","Inferior STEMI with clear lungs, hypotension, bradycardia and raised JVP suggests right ventricular involvement. The right ventricle is preload dependent; reducing venous return (e.g., with nitrates or diuretics) can precipitate cardiovascular collapse. Give a cautious 250–500 mL bolus of 0.9% saline to improve preload and cardiac output while arranging urgent reperfusion. Treat bradycardia if it remains haemodynamically significant after volume loading (Resus Council UK; NICE NG185).","[""Furosemide 40 mg IV"", ""500 mL 0.9% sodium chloride IV bolus"", ""Sublingual glyceryl trinitrate"", ""Atropine 500 micrograms IV bolus"", ""Immediate IV morphine""]",1,2025-09-07T15:58:33Z,2025-09-07T15:58:33Z
88f42168-3ac2-46aa-a5e7-79af1f26e5a2,MCQ,A 64-year-old woman develops severe central chest pain 90 minutes ago. ECG shows 3 mm ST elevation in V1–V4. She is in a district general hospital; nearest PCI centre transfer time is estimated at 150 minutes from STEMI diagnosis. What is the best reperfusion strategy now?,True,"The nearest angioplasty is too far away to do it quickly. Give clot-busting treatment now, then send her to a heart centre.",[],"{""0"": [""Primary PCI cannot be achieved within 120 minutes; immediate fibrinolysis is indicated."", ""After lysis, transfer for early angiography/rescue PCI (pharmaco-invasive strategy).""], ""1"": [""Heparin alone does not reperfuse an occluded artery and delays definitive treatment."", ""Because PCI is delayed >120 minutes, give immediate fibrinolysis and transfer for angiography.""], ""2"": [""Transfer time of 150 minutes exceeds the 120-minute threshold for PPCI."", ""Give immediate fibrinolysis now and arrange transfer for early angiography/rescue PCI.""], ""3"": [""Fondaparinux without reperfusion therapy is inadequate in STEMI and risks avoidable myocardial loss."", ""Provide immediate fibrinolysis and then transfer for angiography.""], ""4"": [""Antiplatelets alone with observation delays reperfusion and worsens outcomes in STEMI."", ""Immediate fibrinolysis is needed when PPCI cannot be delivered within 120 minutes.""]}","In STEMI, reperfusion should be delivered as quickly as possible. If primary PCI cannot be achieved within 120 minutes from the time of STEMI diagnosis/first medical contact, immediate fibrinolysis is recommended, followed by transfer for early angiography and rescue PCI if needed (pharmaco‑invasive strategy). Here the estimated transfer time is 150 minutes, so lysis should not be delayed. This approach improves survival and limits infarct size (NICE NG185).","[""Administer immediate fibrinolysis and arrange transfer for angiography"", ""Give unfractionated heparin and transfer for PCI later today"", ""Transfer for primary PCI despite the delay"", ""Start fondaparinux and arrange PCI tomorrow"", ""Start dual antiplatelets and observe for ST resolution""]",0,2025-09-07T15:58:33Z,2025-09-07T15:58:33Z
88f42168-3ac2-46aa-a5e7-79af1f26e5a2,MCQ,A 70-year-old man presents with chest discomfort and ECG showing lateral T-wave inversion. High-sensitivity troponin I is elevated. His GRACE score is 160. He is haemodynamically stable. What is the most appropriate next step?,True,"His risk is high, so we need to look at his heart arteries soon. Plan an angiogram in hospital within 24 hours.",[],"{""0"": [""A GRACE score of 160 indicates high risk; waiting risks recurrent ischaemia and death."", ""High-risk NSTEMI should have early invasive coronary angiography within 24 hours.""], ""1"": [""GRACE >140 (here 160) warrants early inpatient angiography within 24 hours to reduce death/reinfarction."", ""Troponin-positive ACS with dynamic ECG changes benefits from early invasive strategy (NICE NG185)."", ""He is stable enough for planned early angiography.""], ""2"": [""CTCA is for stable chest pain assessment, not confirmed NSTEMI."", ""High-risk NSTEMI should proceed to early inpatient angiography within 24 hours.""], ""3"": [""Exercise testing is contraindicated in acute coronary syndromes."", ""Early invasive angiography within 24 hours is indicated given GRACE 160.""], ""4"": [""Empirical antianginal monotherapy without risk-directed invasive management is inappropriate in high-risk NSTEMI."", ""Proceed to early coronary angiography within 24 hours.""]}","This patient has NSTEMI with an elevated high-sensitivity troponin and a GRACE score of 160, placing him at high risk. NICE NG185 recommends early inpatient coronary angiography within 24 hours for patients with GRACE >140. An invasive strategy in this group reduces death and reinfarction compared with conservative care. Non-invasive tests such as CTCA or exercise ECG are not appropriate once NSTEMI is confirmed.","[""Repeat troponin in 12 hours and consider discharge"", ""Early inpatient coronary angiography within 24 hours"", ""Discharge with outpatient CT coronary angiography"", ""Exercise treadmill test"", ""Start a calcium channel blocker and review in clinic""]",1,2025-09-07T15:58:33Z,2025-09-07T15:58:33Z
88f42168-3ac2-46aa-a5e7-79af1f26e5a2,MCQ,A 55-year-old man with suspected STEMI is receiving 15 L/min oxygen via a non-rebreathe mask from the ambulance crew. On arrival his SpO2 is 96% on room air. What is the most appropriate oxygen management?,True,His oxygen level is already good. Only give oxygen if it drops below about 94%.,[],"{""0"": [""Routine high-flow oxygen in normoxaemic MI offers no benefit and may be harmful (hyperoxia)."", ""Oxygen should only be given if SpO2 <94%, targeting 94–98%.""], ""1"": [""He is normoxaemic (SpO2 96%); oxygen is not indicated."", ""Give oxygen only if SpO2 <94%, targeting 94–98% (NICE NG185/BTS oxygen guidance).""], ""2"": [""Targeting >99% risks hyperoxia, which can worsen outcomes."", ""If oxygen is needed, aim for 94–98%; otherwise withhold.""], ""3"": [""CPAP is for respiratory failure (e.g., pulmonary oedema); he is oxygenating well on room air."", ""No oxygen is required unless SpO2 falls below 94%.""], ""4"": [""Supplemental oxygen is unnecessary when SpO2 is already 96% on room air."", ""Withhold oxygen unless SpO2 <94%, target 94–98%.""]}","In suspected MI, supplemental oxygen should be used only for hypoxaemia. This patient has SpO2 96% on room air, so oxygen is not indicated; the target range if needed is 94–98%. Routine high‑flow oxygen can cause hyperoxia and may worsen outcomes. This approach is supported by NICE NG185 and BTS oxygen guidance.","[""Continue 15 L/min oxygen for 24 hours"", ""Stop oxygen and only give if SpO2 <94%"", ""Target SpO2 >99% with high-flow oxygen"", ""Start CPAP"", ""Switch to nasal cannulae at 2 L/min""]",1,2025-09-07T15:58:33Z,2025-09-07T15:58:33Z
88f42168-3ac2-46aa-a5e7-79af1f26e5a2,MCQ,A 62-year-old man with central chest pain is being assessed for ACS. He took sildenafil 2 hours ago. Which medication is contraindicated now?,True,Sildenafil and nitrates together can drop blood pressure dangerously low. Do not give GTN now.,[],"{""0"": [""Ticagrelor is not contraindicated with sildenafil and is indicated in ACS unless another reason exists."", ""The key contraindication here is nitrates, which can cause profound hypotension with PDE5 inhibitors.""], ""1"": [""Nitrates with recent sildenafil can cause severe, refractory hypotension; they are contraindicated for at least 24 hours."", ""Use alternative analgesia/antianginals and avoid preload‑reducing vasodilators acutely.""], ""2"": [""Aspirin is essential in ACS and not contraindicated with sildenafil."", ""Avoid nitrates because of the risk of dangerous hypotension with PDE5 inhibitors.""], ""3"": [""Morphine is not specifically contraindicated with sildenafil, though use cautiously for hypotension risk."", ""The drug to avoid is nitrate therapy due to profound hypotension with PDE5 inhibitors.""], ""4"": [""Ondansetron has no interaction with sildenafil relevant here."", ""It is nitrates that are contraindicated because of severe hypotension risk.""]}","Phosphodiesterase-5 inhibitors (e.g., sildenafil) potentiate nitrate-induced vasodilation, causing profound and potentially refractory hypotension. Nitrates should be avoided for at least 24 hours after sildenafil (longer for tadalafil). Other ACS therapies, such as aspirin and ticagrelor, are not contraindicated by sildenafil use. Manage pain and ischaemia with alternatives while nitrates are withheld.","[""Ticagrelor"", ""Glyceryl trinitrate"", ""Aspirin"", ""Morphine"", ""Ondansetron""]",1,2025-09-07T15:58:33Z,2025-09-07T15:58:33Z
88f42168-3ac2-46aa-a5e7-79af1f26e5a2,MCQ,A 49-year-old man with anterolateral STEMI is taken directly to the cath lab for PPCI. Which initial antiplatelet loading is most appropriate?,True,"Before an urgent stent, give strong blood thinners quickly. That means aspirin 300 mg plus ticagrelor 180 mg.",[],"{""0"": [""Aspirin alone is insufficient; a P2Y12 inhibitor is required in PPCI."", ""Standard loading is aspirin 300 mg plus a potent P2Y12 inhibitor (e.g., ticagrelor 180 mg).""], ""1"": [""Aspirin 75 mg is underdosed for loading and clopidogrel 300 mg is weaker and slower onset."", ""Recommended is aspirin 300 mg plus ticagrelor 180 mg for PPCI (unless contraindicated).""], ""2"": [""For PPCI, load with aspirin 300 mg plus ticagrelor 180 mg for rapid and potent platelet inhibition."", ""This regimen reduces early stent thrombosis and adverse events compared with clopidogrel (NICE ACS guidance)."", ""Prasugrel is an alternative if appropriately loaded (60 mg) and no contraindications.""], ""3"": [""Prasugrel 10 mg is a maintenance dose and lacks aspirin; it is not an appropriate loading strategy."", ""Use aspirin 300 mg plus a proper P2Y12 load (e.g., ticagrelor 180 mg).""], ""4"": [""Aspirin 300 mg plus clopidogrel 600 mg is acceptable if ticagrelor/prasugrel are contraindicated, but is not first line."", ""Preferred loading for PPCI is aspirin 300 mg plus ticagrelor 180 mg.""]}","Patients undergoing primary PCI should receive dual antiplatelet loading with aspirin plus a potent P2Y12 inhibitor. In UK practice, aspirin 300 mg plus ticagrelor 180 mg is first line, providing rapid, strong platelet inhibition and reducing early stent thrombosis versus clopidogrel (NICE ACS guidance). Prasugrel is an alternative when appropriately loaded (60 mg) in suitable patients. Aspirin alone or underdosed regimens are inadequate.","[""Aspirin 150 mg only"", ""Aspirin 75 mg plus clopidogrel 300 mg"", ""Aspirin 300 mg plus ticagrelor 180 mg"", ""Prasugrel 10 mg only"", ""Aspirin 300 mg plus clopidogrel 600 mg""]",2,2025-09-07T15:58:33Z,2025-09-07T15:58:33Z
88f42168-3ac2-46aa-a5e7-79af1f26e5a2,MCQ,"A 78-year-old woman is admitted with NSTEMI. She is pain-free and stable, with no immediate plan for PCI. Which anticoagulant is recommended pending angiography?",True,"Use a once-daily heparin-like injection (fondaparinux) while waiting, unless going straight to the cath lab. It lowers clots with less bleeding.",[],"{""0"": [""Warfarin has delayed onset and is not used for acute NSTEMI anticoagulation."", ""Preferred agent in stable NSTEMI awaiting angiography is fondaparinux.""], ""1"": [""DOACs are not recommended for routine acute NSTEMI anticoagulation."", ""Use fondaparinux 2.5 mg SC daily unless immediate PCI is planned.""], ""2"": [""Fondaparinux 2.5 mg SC daily is recommended in NSTEMI without immediate PCI, reducing death/reinfarction with less bleeding."", ""Switch to UFH at the time of PCI if an invasive strategy proceeds (NICE NG185).""], ""3"": [""UFH infusion is reserved when immediate angiography/PCI is planned or fondaparinux is contraindicated (e.g., severe renal failure)."", ""In stable NSTEMI awaiting angiography, fondaparinux is preferred.""], ""4"": [""Anticoagulation is indicated to prevent thrombus propagation in NSTEMI."", ""Fondaparinux is the recommended option while awaiting angiography.""]}","For NSTEMI patients who are stable and not proceeding directly to PCI, fondaparinux 2.5 mg SC once daily is recommended. It reduces death and reinfarction with less bleeding compared to unfractionated heparin. If and when PCI is performed, give UFH at the time of the procedure. This approach is outlined in NICE NG185.","[""Warfarin"", ""Dabigatran"", ""Fondaparinux 2.5 mg subcutaneously once daily"", ""Unfractionated heparin infusion"", ""No anticoagulation""]",2,2025-09-07T15:58:33Z,2025-09-07T15:58:33Z
88f42168-3ac2-46aa-a5e7-79af1f26e5a2,MCQ,A 65-year-old man with inferior STEMI develops complete heart block with hypotension. What is the most appropriate initial management of the bradycardia?,True,"First try atropine to speed up a dangerously slow heart. If it doesn’t work, move on to pacing or other medicines.",[],"{""0"": [""Atropine 500 micrograms IV is first-line for symptomatic bradycardia and is often effective in inferior MI AV block."", ""If atropine fails or the patient remains unstable, escalate to pacing or chronotropic infusions (Resus Council UK).""], ""1"": [""Transcutaneous pacing is indicated if atropine is ineffective or there is profound instability."", ""Initial management per algorithm is atropine 500 micrograms IV in this inferior MI-related AV block.""], ""2"": [""Amiodarone treats tachyarrhythmias, not bradycardia or AV block."", ""Start with atropine 500 micrograms IV; consider pacing if ineffective.""], ""3"": [""Isoprenaline is a second-line chronotrope and may increase ischaemia; use after atropine or as a bridge to pacing."", ""Give atropine first in inferior MI complete heart block with hypotension.""], ""4"": [""Adenosine can worsen AV block and is used for SVT, not bradycardia."", ""Treat with atropine initially; escalate to pacing if needed.""]}","Complete heart block in inferior STEMI is often at the AV node and may respond to atropine. Resus Council UK bradycardia algorithm advises atropine 500 micrograms IV as first-line for symptomatic bradycardia with haemodynamic compromise. If there is no response or the patient remains unstable, consider transcutaneous pacing or a chronotropic infusion (e.g., isoprenaline) while arranging definitive care. Amiodarone and adenosine are not indicated.","[""Atropine 500 micrograms IV bolus"", ""Transcutaneous pacing immediately"", ""Amiodarone 300 mg IV"", ""Isoprenaline infusion"", ""Adenosine 6 mg IV""]",0,2025-09-07T15:58:33Z,2025-09-07T15:58:33Z
88f42168-3ac2-46aa-a5e7-79af1f26e5a2,MCQ,"A 59-year-old woman, day 2 after an inferior STEMI, develops sudden respiratory distress, hypotension, and a new loud pansystolic murmur at the apex radiating to the axilla. What is the most appropriate next step?",True,A heart valve has suddenly failed after the heart attack. She needs an emergency heart surgeon to fix it now.,[],"{""0"": [""Acute severe MR from papillary muscle rupture causes shock and pulmonary oedema and needs urgent surgical repair."", ""Stabilise (e.g., inotropes/afterload reduction) while expediting emergency cardiothoracic intervention.""], ""1"": [""Thrombolysis is for occlusive coronary thrombosis, not mechanical complications like papillary muscle rupture."", ""This scenario requires urgent surgical assessment and repair.""], ""2"": [""Beta-blockers can worsen acute decompensation in severe MR with shock."", ""Urgent surgical repair is needed for papillary muscle rupture.""], ""3"": [""Conservative delay risks rapid deterioration and death in mechanical complications post-MI."", ""Immediate surgical assessment for repair is required.""], ""4"": [""Diuretics alone will not correct acute severe MR and may worsen hypotension."", ""Definitive management is urgent surgical repair with haemodynamic support.""]}","Sudden respiratory distress, hypotension, and a new loud pansystolic murmur after an inferior MI is classic for acute papillary muscle rupture causing severe mitral regurgitation. This is a life‑threatening mechanical complication that requires urgent cardiothoracic surgical assessment for repair. Medical therapy (inotropes, vasodilators, IABP) may temporise but is not definitive. Thrombolysis and beta‑blockade are inappropriate here.","[""Urgent cardiothoracic surgical assessment for repair"", ""Immediate thrombolysis"", ""Start IV metoprolol"", ""Conservative management while awaiting echocardiography"", ""High-dose loop diuretics alone""]",0,2025-09-07T15:58:33Z,2025-09-07T15:58:33Z
88f42168-3ac2-46aa-a5e7-79af1f26e5a2,MCQ,"A 60-year-old man had an anterior STEMI 5 days ago. His echocardiogram shows LVEF 35% and he has symptoms of heart failure. He is on aspirin, ticagrelor, ramipril, bisoprolol, and high-intensity statin. Which additional medication should be started to improve mortality?",True,"Because his heart is weak after the heart attack, adding eplerenone helps him live longer. Water tablets help symptoms but don’t improve survival.",[],"{""0"": [""Digoxin does not improve survival post‑MI and is mainly for rate control in AF or symptom relief."", ""Add a mineralocorticoid receptor antagonist (eplerenone) to reduce mortality in LV dysfunction with HF after MI.""], ""1"": [""Ivabradine is for chronic HFrEF with persistent tachycardia despite beta‑blocker, not early post‑MI routine use."", ""Eplerenone started within 3–14 days post‑MI with LVEF ≤40% and HF reduces mortality.""], ""2"": [""Eplerenone (MRA) started early post‑MI in patients with LVEF ≤40% and HF symptoms reduces mortality (EPHESUS)."", ""Add to ACE inhibitor/β‑blocker/statin unless contraindicated (NICE MI secondary prevention).""], ""3"": [""Loop diuretics relieve congestion but do not confer a mortality benefit."", ""An MRA (eplerenone) improves survival post‑MI with LV dysfunction and HF.""], ""4"": [""Hydralazine alone does not provide proven mortality benefit post‑MI; hydralazine–nitrate is reserved for specific HFrEF contexts or ACEI intolerance."", ""Preferred addition here is eplerenone to improve survival.""]}","After MI with LVEF ≤40% and heart failure, adding a mineralocorticoid receptor antagonist such as eplerenone within 3–14 days improves survival and reduces hospitalisations (EPHESUS). This is in addition to ACE inhibitor, beta‑blocker, dual antiplatelets, and statin. Diuretics help symptoms only, and agents like digoxin or ivabradine are not first‑line for mortality reduction in this early post‑MI context. NICE MI secondary prevention guidance supports MRA use when criteria are met.","[""Digoxin"", ""Ivabradine"", ""Eplerenone"", ""Furosemide"", ""Hydralazine""]",2,2025-09-07T15:58:33Z,2025-09-07T15:58:33Z
