topic_id,type,stem,is_active,explanation_eli5,explanation_l1_points,explanation_points_by_option,explanation_l2,options,correct_answer,created_at,updated_at
a8769dfc-2521-49be-99c7-f158816dce46,MCQ,"A 24-year-old with known asthma presents to the GP with increased wheeze and cough after a cold. She is speaking in full sentences. Observations: SpO2 97% on air, RR 18/min, HR 92/min. Peak flow is 75% of her personal best. What is the most appropriate initial treatment?",True,"This is a mild asthma flare, so use a blue inhaler (salbutamol) with a spacer first. Stronger treatments are only needed if she doesn’t improve.",[],"{""0"": [""No features of life-threatening asthma or ventilatory failure; patient is stable and speaking in full sentences."", ""Mild/moderate attacks are treated with repeated salbutamol via spacer, which is as effective as nebuliser initially (BTS/SIGN).""], ""1"": [""IV steroids are not indicated in a mild/moderate attack; if steroids are needed, oral prednisolone is preferred."", ""First-line is SABA via spacer; nebulisers/IV therapy are reserved for severe or poor response.""], ""2"": [""Nebulisers are not required for mild/moderate exacerbations with normal saturations."", ""Give 4–6 puffs salbutamol via spacer initially; escalate only if not improving.""], ""3"": [""IV magnesium sulfate is for severe/life‑threatening attacks or poor response to initial therapy."", ""Start with salbutamol via spacer in mild/moderate cases (PEF 50–75%, normal SpO2).""], ""4"": [""Mild/moderate exacerbation (PEF ~75%, SpO2 97%, full sentences) is managed with 4–6 puffs salbutamol via a spacer."", ""Spacer-delivered SABA is as effective as nebulised therapy in this setting and has fewer side effects (BTS/SIGN)."", ""Escalation (nebuliser/IV) is reserved for severe features or inadequate response.""]}","This presentation is a mild/moderate asthma exacerbation: PEF about 75% of best, normal oxygen saturations, and the ability to speak in full sentences. First-line treatment is repeated doses of inhaled salbutamol via a spacer, which is as effective as nebulised therapy in this group and avoids unnecessary side effects. Nebulisers and IV therapies, including magnesium, are reserved for severe or life‑threatening attacks or poor response. Parenteral steroids are not required; if steroids are needed, oral prednisolone is preferred. (BTS/SIGN Acute Asthma).","[""Immediate intubation and ventilation"", ""IV hydrocortisone 100 mg"", ""Nebulised salbutamol 5 mg driven by air"", ""IV magnesium sulfate 2 g stat"", ""4–6 puffs of salbutamol via a spacer""]",4,2025-09-07T16:53:09Z,2025-09-07T16:53:09Z
a8769dfc-2521-49be-99c7-f158816dce46,MCQ,A 55-year-old man with a 30 pack-year smoking history presents with chronic productive cough and exertional dyspnoea. Post-bronchodilator spirometry shows FEV1/FVC 0.58 with FEV1 improving from 1.7 L to 1.8 L (6% and 100 mL). What is the most likely diagnosis?,True,"His breathing tests show fixed blockage that doesn’t improve much with inhalers, and he’s a long‑term smoker. That pattern fits COPD.",[],"{""0"": [""Vocal cord dysfunction often has normal spirometry between episodes and inspiratory flow limitation, not fixed obstruction with minimal reversibility."", ""Smoker with chronic productive cough and obstructive spirometry with poor reversibility fits COPD best.""], ""1"": [""Bronchiectasis causes chronic sputum but diagnosis relies on CT; spirometry can be obstructive but history strongly supports COPD."", ""Post‑bronchodilator FEV1/FVC <0.7 with minimal reversibility in a smoker is typical of COPD.""], ""2"": [""Heart failure typically shows restrictive or normal spirometry and symptoms like orthopnoea and oedema."", ""Obstructive spirometry with poor reversibility in a smoker suggests COPD.""], ""3"": [""Obstructive spirometry (FEV1/FVC 0.58) with minimal bronchodilator reversibility (6%, 100 mL) is diagnostic of COPD in a smoker."", ""Symptoms of chronic productive cough and exertional dyspnoea support COPD (NICE NG115).""], ""4"": [""Asthma usually shows significant reversibility (≥12% and ≥200 mL) and variable symptoms; here reversibility is minimal."", ""A 30 pack‑year smoker with fixed obstruction fits COPD better.""]}","This patient has persistent airflow obstruction with a post‑bronchodilator FEV1/FVC of 0.58 and only a small bronchodilator response (6% and 100 mL). In a long‑term smoker with chronic productive cough and exertional dyspnoea, this is most consistent with COPD. Asthma typically shows significant reversibility and variability. Bronchiectasis requires CT confirmation, and heart failure would not usually present with fixed obstructive spirometry. (NICE NG115).","[""Vocal cord dysfunction"", ""Bronchiectasis"", ""Heart failure"", ""COPD"", ""Asthma""]",3,2025-09-07T16:53:09Z,2025-09-07T16:53:09Z
a8769dfc-2521-49be-99c7-f158816dce46,MCQ,A 35-year-old with intermittent wheeze undergoes FeNO testing. The FeNO is 52 ppb. Spirometry is normal. What does this result indicate?,True,A high FeNO means there’s allergic‑type inflammation in the airways. This fits asthma and usually improves with steroid inhalers.,[],"{""0"": [""FeNO ≥40 ppb in adults indicates eosinophilic airway inflammation and likely steroid responsiveness."", ""Normal spirometry does not exclude asthma; FeNO supports a Type 2/eosinophilic phenotype (NICE NG80).""], ""1"": [""COPD is not diagnosed by FeNO; COPD often has normal or low FeNO."", ""FeNO 52 ppb indicates eosinophilic inflammation, supporting asthma biology.""], ""2"": [""High FeNO reflects eosinophilic, not neutrophilic, inflammation."", ""FeNO 52 ppb supports steroid‑responsive airway inflammation.""], ""3"": [""A raised FeNO supports, not rules out, asthma even if spirometry is normal."", ""FeNO ≥40 ppb indicates eosinophilic inflammation compatible with asthma (NICE NG80).""], ""4"": [""No information suggests an inadequate sample; FeNO 52 ppb is a valid raised result."", ""This level indicates eosinophilic airway inflammation and steroid responsiveness.""]}","A FeNO of 52 ppb in an adult is raised and indicates eosinophilic airway inflammation, which predicts responsiveness to inhaled corticosteroids. Asthma can present with normal spirometry between episodes, so a raised FeNO adds supportive diagnostic evidence. COPD is not diagnosed by FeNO and typically has lower values unless there is overlap. Therefore, the result suggests eosinophilic inflammation consistent with asthma. (NICE NG80).","[""Eosinophilic airway inflammation is likely"", ""COPD is likely"", ""Predominantly neutrophilic inflammation"", ""The test rules out asthma"", ""Insufficient sample was obtained""]",0,2025-09-07T16:53:09Z,2025-09-07T16:53:09Z
a8769dfc-2521-49be-99c7-f158816dce46,MCQ,"A 42-year-old presents with intermittent wheeze and nocturnal cough. Spirometry shows FEV1/FVC 0.62. After bronchodilator, FEV1 increases by 400 mL and 19%. What is the most appropriate interpretation?",True,The breathing test shows blocked airways that open a lot after an inhaler. That’s the typical pattern of asthma.,[],"{""0"": [""Obstructive spirometry (FEV1/FVC 0.62) with bronchodilator reversibility of 400 mL and 19% is significant."", ""This pattern is typical of asthma rather than fixed obstruction (NICE NG80).""], ""1"": [""Good bronchodilator response argues against poor effort as the main issue."", ""The marked reversibility supports asthma with obstructive pattern.""], ""2"": [""Fixed airflow obstruction would not show large reversibility (≥12% and ≥200 mL)."", ""Marked reversibility with obstruction is characteristic of asthma.""], ""3"": [""FEV1/FVC 0.62 is obstructive, not normal."", ""Significant post‑bronchodilator improvement supports asthma diagnosis.""], ""4"": [""Restriction has reduced lung volumes with normal/high FEV1/FVC, not low ratio."", ""Low ratio with large reversibility is consistent with asthma.""]}","This patient has an obstructive pattern (FEV1/FVC 0.62) and a large bronchodilator response (increase in FEV1 by 400 mL and 19%), which meets criteria for significant reversibility (≥12% and ≥200 mL). Such reversibility is characteristic of asthma rather than COPD, which shows fixed obstruction. Poor effort is unlikely given the consistent improvement after bronchodilator. Restriction would raise or preserve the FEV1/FVC ratio, not lower it. (NICE NG80).","[""Obstructive pattern with significant reversibility consistent with asthma"", ""Poor test effort"", ""Fixed airflow obstruction consistent with COPD"", ""Normal spirometry"", ""Restrictive defect""]",0,2025-09-07T16:53:09Z,2025-09-07T16:53:09Z
a8769dfc-2521-49be-99c7-f158816dce46,MCQ,"A 28-year-old with newly diagnosed asthma has been using a low-dose inhaled corticosteroid (ICS) but remains symptomatic, using her SABA about 4 times per week and waking once a week at night. According to NICE guidance, what is the best next step?",True,"The next step is to add a tablet like montelukast to the steroid inhaler. If that doesn’t help, then move to a combination inhaler.",[],"{""0"": [""NICE advises trying a leukotriene receptor antagonist (LTRA) before adding a LABA in adults already on low‑dose ICS."", ""Step‑up to LABA/ICS or MART if LTRA trial is ineffective (NICE NG80).""], ""1"": [""In adults uncontrolled on low‑dose ICS, add an LTRA as the next step."", ""Review after 4–8 weeks; if ineffective, stop LTRA and add LABA in combination inhaler (NICE NG80).""], ""2"": [""LAMA is not a second‑line add‑on at this stage; it is considered later if uncontrolled on ICS/LABA."", ""NICE recommends trying an LTRA next after low‑dose ICS.""], ""3"": [""Oral theophylline is not a routine step‑up due to side effects and monitoring needs."", ""NICE recommends adding an LTRA before LABA when uncontrolled on low‑dose ICS.""], ""4"": [""Escalating to high‑dose ICS monotherapy increases side effects and is not the preferred next step."", ""Add an LTRA first, then consider LABA/ICS if still uncontrolled (NICE NG80).""]}","For adults with asthma who remain symptomatic on low‑dose ICS, NICE recommends adding a leukotriene receptor antagonist as the next step. The response should be reviewed after 4–8 weeks; if ineffective, stop the LTRA and add a LABA in a combination inhaler, considering MART if appropriate. LAMA and theophylline are later options. Increasing to high‑dose ICS monotherapy is not preferred because of side effects without added bronchodilation. (NICE NG80).","[""Switch immediately to a LABA/ICS combination inhaler"", ""Add a leukotriene receptor antagonist"", ""Add a long-acting muscarinic antagonist"", ""Start oral theophylline"", ""Increase ICS to high-dose monotherapy""]",1,2025-09-07T16:53:09Z,2025-09-07T16:53:09Z
a8769dfc-2521-49be-99c7-f158816dce46,MCQ,"A 31-year-old man with asthma attends for review due to poor symptom control. Before stepping up his treatment, what is the most important action?",True,Make sure he’s using his inhalers right and regularly before adding stronger medicines. Fixing this often improves symptoms.,[],"{""0"": [""Biologics are reserved for severe refractory asthma after standard steps and optimisation."", ""First, check inhaler technique and adherence as these are common causes of poor control (NICE NG80).""], ""1"": [""Long‑term oral steroids have significant side effects and are not first‑line for poor control."", ""Optimise basics: inhaler technique, adherence, triggers, and comorbidities.""], ""2"": [""Incorrect technique or poor adherence commonly underlie poor control; correcting these may avoid stepping up."", ""Assess triggers and comorbidities before escalating treatment (NICE NG80/BTS/SIGN).""], ""3"": [""Prophylactic antibiotics are not indicated in asthma without evidence of infection."", ""Review technique/adherence and triggers first; then step up if needed.""], ""4"": [""CT chest is not indicated for routine poor control without red flags."", ""Start by checking inhaler use and adherence; this often resolves issues.""]}","Before escalating asthma therapy, confirm the basics: correct inhaler technique, adherence, trigger avoidance, and management of comorbidities. Many patients labelled as ‘poorly controlled’ improve after addressing these factors. Reserve oral steroids and biologics for those with persistent symptoms despite optimised standard therapy. Imaging and antibiotics are not routine unless there are alternative diagnoses or infection. (NICE NG80; BTS/SIGN).","[""Refer immediately for biologic therapy"", ""Start long-term oral prednisolone"", ""Check inhaler technique and adherence"", ""Add prophylactic antibiotics"", ""Order a CT chest""]",2,2025-09-07T16:53:09Z,2025-09-07T16:53:09Z
a8769dfc-2521-49be-99c7-f158816dce46,MCQ,"A 38-year-old woman presents to the ED with breathlessness and wheeze. She is unable to complete sentences, RR 30/min, HR 120/min, SpO2 93% on air, and PEF is 45% of predicted. What is the most appropriate immediate management?",True,She is having a bad asthma attack. Give oxygen and strong inhaled medicines by nebuliser to open the airways quickly.,[],"{""0"": [""IV aminophylline is not first‑line and adds toxicity; reserve for poor response to inhaled/nebulised bronchodilators."", ""Start oxygen‑driven nebulised salbutamol and add ipratropium in acute severe asthma (BTS/SIGN).""], ""1"": [""Observation alone risks deterioration in acute severe asthma (PEF 33–50%, tachycardia, unable to speak full sentences)."", ""Immediate nebulised beta‑agonist with oxygen and ipratropium is indicated.""], ""2"": [""Acute severe attack: give oxygen‑driven nebulised salbutamol to target SpO2 94–98%, and add ipratropium."", ""Early combination bronchodilation improves airflow and outcomes (BTS/SIGN).""], ""3"": [""High‑dose inhaler via spacer alone is insufficient for acute severe features and SpO2 93%."", ""Use oxygen‑driven nebulisers and add ipratropium promptly.""], ""4"": [""The patient is acutely unwell and hypoxaemic; discharge is unsafe and antibiotics are not indicated."", ""Treat with oxygen‑driven nebulised bronchodilators and ipratropium first‑line.""]}","She meets criteria for acute severe asthma: PEF 33–50% predicted, tachycardia, tachypnoea, and inability to complete sentences. Immediate management is oxygen to maintain saturations 94–98% and nebulised salbutamol driven by oxygen, with ipratropium added for additional bronchodilation. Aminophylline is not first‑line due to side effects and limited added benefit. Observation alone or spacer therapy only is inadequate at this severity. (BTS/SIGN Acute Asthma).","[""Start IV aminophylline"", ""Observe without treatment"", ""Nebulised salbutamol with oxygen and add ipratropium"", ""Give high-dose inhaled salbutamol via spacer only"", ""Discharge with antibiotics""]",2,2025-09-07T16:53:09Z,2025-09-07T16:53:09Z
a8769dfc-2521-49be-99c7-f158816dce46,MCQ,"A 26-year-old man with asthma presents extremely breathless. He is drowsy, has a silent chest, RR 36/min, HR 132/min, SpO2 88% on air, and PEF is 25% of predicted. What is the next best step?",True,"This is a very dangerous asthma attack. Get senior help now, give oxygen and constant nebulisers, and be ready to put them on a breathing machine.",[],"{""0"": [""Oral steroids alone are inadequate and discharge is dangerous in life‑threatening asthma."", ""This needs immediate senior care, continuous nebulisers, and possible intubation (BTS/SIGN).""], ""1"": [""CT is not indicated in acute life‑threatening asthma and would delay critical treatment."", ""Priorities are airway/oxygenation, continuous bronchodilators, steroids, and ICU preparation.""], ""2"": [""Leukotriene antagonists are not used to treat life‑threatening attacks."", ""Urgent senior review with continuous nebulisers and preparation for intubation is required.""], ""3"": [""Drowsiness, silent chest, SpO2 88%, and PEF 25% indicate life‑threatening asthma."", ""Requires immediate senior review, continuous nebulised bronchodilators, IV therapy, and prepare for ICU/intubation (BTS/SIGN; Resus Council ALS).""], ""4"": [""Antibiotics are not indicated unless there is clear bacterial infection."", ""Focus on aggressive bronchodilation, oxygenation, steroids, magnesium, and potential ventilatory support.""]}","This is life‑threatening asthma: drowsiness, silent chest, SpO2 88% on air, and PEF 25% predicted. Immediate senior review is essential with high‑flow oxygen, continuous nebulised bronchodilators (salbutamol ± ipratropium), systemic steroids, and consideration of IV magnesium. Prepare for possible intubation and ICU transfer; involve anaesthesia/ICU early. Imaging and antibiotics are not priorities unless another diagnosis is suspected. (BTS/SIGN Acute Asthma; Resus Council ALS).","[""Give oral prednisolone and discharge"", ""Arrange urgent chest CT"", ""Start montelukast"", ""Immediate senior review, continuous nebulised bronchodilators, and prepare for possible intubation/ICU"", ""Start IV antibiotics""]",3,2025-09-07T16:53:09Z,2025-09-07T16:53:09Z
a8769dfc-2521-49be-99c7-f158816dce46,MCQ,A 29-year-old with an acute asthma exacerbation improves after treatment in the ED. You plan to discharge him. What oral steroid regimen is most appropriate?,True,"Give steroid tablets called prednisolone, 40 mg once a day for 5 days. This calms the airway swelling and stops the attack coming back.",[],"{""0"": [""IV hydrocortisone is for in‑hospital use when oral route is not possible."", ""Standard discharge course is oral prednisolone 40 mg for 5 days (BTS/SIGN).""], ""1"": [""Dexamethasone is not standard for adult asthma exacerbation discharge in UK practice."", ""Use prednisolone 40 mg daily for 5 days.""], ""2"": [""Prednisolone 40 mg once daily for 5 days is the recommended adult regimen after an exacerbation."", ""This reduces relapse risk and airway inflammation (BTS/SIGN).""], ""3"": [""Three days at 30 mg may be insufficient; recommended adult dose is 40–50 mg for 5 days."", ""Use prednisolone 40 mg daily for 5 days.""], ""4"": [""10 mg is subtherapeutic for an exacerbation and 14 days is unnecessarily long."", ""Give 40 mg daily for 5 days as standard.""]}","After improvement from an acute asthma exacerbation, adults are typically discharged on prednisolone 40 mg once daily for 5 days. This course reduces airway inflammation and relapse. IV steroids are reserved for those unable to take oral therapy. Alternative steroid regimens like dexamethasone are not standard for adult asthma in UK guidance. (BTS/SIGN Acute Asthma).","[""Hydrocortisone 50 mg IV twice daily for 7 days"", ""Dexamethasone 8 mg once daily for 5 days"", ""Prednisolone 40 mg once daily for 5 days"", ""Prednisolone 30 mg once daily for 3 days"", ""Prednisolone 10 mg once daily for 14 days""]",2,2025-09-07T16:53:09Z,2025-09-07T16:53:09Z
a8769dfc-2521-49be-99c7-f158816dce46,MCQ,A 47-year-old with an asthma exacerbation is hypoxaemic with SpO2 90% on air. You plan to give nebulised salbutamol. Which gas should be used to drive the nebuliser?,True,"Because his oxygen level is low, the nebuliser should run on oxygen, not air. This gives medicine and oxygen at the same time.",[],"{""0"": [""Nitrous oxide is not used to drive nebulisers and would worsen hypoxia."", ""Use oxygen to drive the nebuliser in hypoxaemic asthma to reach SpO2 94–98% (BTS/SIGN).""], ""1"": [""Room air will not correct hypoxaemia (SpO2 90%)."", ""Use oxygen‑driven nebulisation in hypoxaemic patients.""], ""2"": [""Compressed air does not address low oxygen saturations in this hypoxaemic patient."", ""Oxygen should drive the nebuliser to improve SpO2 to 94–98%.""], ""3"": [""Heliox is not routine first‑line for asthma exacerbations and is not necessary here."", ""Oxygen is the appropriate driving gas when the patient is hypoxaemic.""], ""4"": [""In hypoxaemic asthma, nebulisers should be driven by oxygen to avoid worsening hypoxia."", ""Target saturations are 94–98% during acute treatment (BTS/SIGN).""]}","With SpO2 90% on air, the patient is hypoxaemic. Nebulisers should be driven by oxygen in hypoxaemic asthma to improve oxygenation and deliver bronchodilators effectively, aiming for saturations of 94–98%. Compressed air or room air would not correct the hypoxia, and specialty gases like heliox are not first‑line. Nitrous oxide is inappropriate. (BTS/SIGN Acute Asthma).","[""Nitrous oxide"", ""Room air"", ""Compressed air via portable compressor"", ""Heliox"", ""Oxygen""]",4,2025-09-07T16:53:09Z,2025-09-07T16:53:09Z
